"Ratio of education and health expenditure to military expenditure"
"HDI Rank (2017)","Country","1995","","2000","","2005","","2010","","2011","","2012","","2013","","2014","","2015",""
"168","Afghanistan","..","..","..","..","..","..","6.3","..","6.7","..","9.1","..","11.7","..","10.3","..","13.6",".."
"68","Albania","2.6","..","8.1","..","7.1","..","..","..","..","..","..","..","7.0","..","..","..","8.8",".."
"147","Angola","..","..","0.8","..","1.4","..","1.5","..","..","..","..","..","..","..","..","..","..",".."
"47","Argentina","..","..","8.4","..","12.1","..","14.5","..","15.2","..","14.8","..","14.1","..","13.4","..","14.9",".."
"83","Armenia","..","..","2.6","..","3.4","..","2.0","..","1.8","..","2.6","..","2.7","..","2.4","..","3.1",".."
"3","Australia","4.8","..","6.6","..","6.8","..","7.2","..","7.5","..","8.1","..","8.4","..","8.0","..","..",".."
"20","Austria","11.8","..","15.1","..","17.4","..","19.3","..","19.6","..","20.1","..","21.0","..","21.0","..","..",".."
"80","Azerbaijan","1.7","..","3.4","..","4.5","..","2.8","..","1.5","..","1.5","..","1.7","..","1.8","..","1.8",".."
"43","Bahrain","..","..","..","..","..","..","..","..","..","..","1.8","..","1.6","..","1.6","..","1.7",".."
"136","Bangladesh","..","..","3.1","..","..","..","..","..","3.4","..","3.5","..","3.5","..","..","..","..",".."
"53","Belarus","..","..","8.7","..","8.1","..","7.8","..","7.6","..","8.3","..","8.4","..","8.0","..","8.5",".."
"17","Belgium","5.7","..","..","..","13.6","..","15.1","..","15.8","..","..","..","16.8","..","17.4","..","..",".."
"106","Belize","..","..","10.5","..","..","..","11.3","..","..","..","..","..","10.9","..","10.5","..","11.7",".."
"163","Benin","..","..","12.7","..","8.2","..","..","..","..","..","9.9","..","9.0","..","8.3","..","7.6",".."
"118","Bolivia (Plurinational State of)","3.7","..","4.7","..","..","..","7.6","..","7.1","..","6.3","..","6.4","..","6.9","..","..",".."
"101","Botswana","..","..","..","..","5.6","..","..","..","..","..","..","..","..","..","..","..","..",".."
"79","Brazil","4.0","..","7.1","..","8.2","..","8.8","..","9.6","..","9.9","..","10.4","..","10.8","..","..",".."
"39","Brunei Darussalam","..","..","1.5","..","..","..","1.5","..","2.3","..","2.2","..","..","..","1.8","..","..",".."
"51","Bulgaria","2.9","..","..","..","4.7","..","6.2","..","7.4","..","7.4","..","7.4","..","..","..","..",".."
"183","Burkina Faso","..","..","..","..","6.6","..","7.1","..","7.5","..","6.8","..","7.7","..","7.1","..","6.8",".."
"185","Burundi","1.5","..","1.9","..","2.9","..","..","..","..","..","6.1","..","6.1","..","..","..","..",".."
"125","Cabo Verde","..","..","..","..","..","..","20.3","..","17.9","..","..","..","17.7","..","18.3","..","18.2",".."
"146","Cambodia","..","..","3.7","..","..","..","5.7","..","6.0","..","5.7","..","5.6","..","4.9","..","..",".."
"151","Cameroon","..","..","5.0","..","5.9","..","5.9","..","5.5","..","6.3","..","6.3","..","..","..","..",".."
"12","Canada","8.3","..","12.3","..","12.5","..","13.3","..","13.0","..","..","..","..","..","..","..","..",".."
"188","Central African Republic","..","..","..","..","5.3","..","1.9","..","2.2","..","..","..","..","..","..","..","..",".."
"186","Chad","..","..","5.7","..","7.8","..","1.0","..","1.2","..","..","..","1.4","..","..","..","..",".."
"44","Chile","2.1","..","4.0","..","3.9","..","4.9","..","4.8","..","..","..","6.0","..","6.3","..","6.8",".."
"86","China","2.1","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"90","Colombia","..","..","3.0","..","2.8","..","3.0","..","3.4","..","3.3","..","3.3","..","3.5","..","3.4",".."
"137","Congo","..","..","..","..","2.2","..","4.5","..","..","..","..","..","..","..","..","..","..",".."
"176","Congo (Democratic Republic of the)","..","..","..","..","..","..","6.6","..","..","..","..","..","5.3","..","..","..","5.1",".."
"46","Croatia","..","..","..","..","..","..","7.3","..","6.7","..","..","..","7.2","..","..","..","..",".."
"32","Cyprus","1.8","..","3.7","..","5.7","..","6.9","..","7.5","..","..","..","8.3","..","8.4","..","..",".."
"27","Czechia","6.0","..","5.0","..","5.7","..","9.1","..","10.4","..","10.5","..","11.6","..","12.0","..","..",".."
"170","Côte d'Ivoire","..","..","..","..","6.5","..","6.9","..","7.2","..","7.0","..","7.1","..","6.6","..","6.0",".."
"11","Denmark","8.4","..","11.1","..","13.1","..","13.5","..","14.2","..","13.0","..","15.2","..","15.6","..","..",".."
"172","Djibouti","..","..","2.9","..","2.0","..","..","..","..","..","..","..","..","..","..","..","..",".."
"94","Dominican Republic","4.0","..","5.9","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"86","Ecuador","2.0","..","3.1","..","..","..","4.0","..","4.0","..","4.4","..","4.7","..","5.1","..","5.2",".."
"115","Egypt","1.9","..","..","..","3.5","..","..","..","..","..","..","..","..","..","..","..","..",".."
"121","El Salvador","..","..","11.2","..","11.0","..","9.5","..","9.4","..","9.6","..","9.6","..","9.9","..","9.7",".."
"30","Estonia","12.3","..","7.6","..","5.2","..","7.0","..","6.5","..","5.6","..","5.7","..","6.0","..","..",".."
"144","Eswatini (Kingdom of)","5.0","..","7.2","..","6.6","..","6.2","..","6.9","..","..","..","..","..","7.7","..","..",".."
"173","Ethiopia","..","..","1.1","..","..","..","8.9","..","9.2","..","11.7","..","10.6","..","..","..","..",".."
