grupo,Item,MillonesUS
18-19Oct,1 día evasión completa (estimación),1.3
18-19Oct,Reparaciones (estimación),200
Evasiones/Elusiones/Fraudes al Fisco/Colusiones/Otros,Elusión Empresas Zombies,1453
Evasiones/Elusiones/Fraudes al Fisco/Colusiones/Otros,Contribuciones viviendas de inversión en arriendo ('14-'18),1352
Evasiones/Elusiones/Fraudes al Fisco/Colusiones/Otros,Colusión Pollos ('96-'11),1164
Evasiones/Elusiones/Fraudes al Fisco/Colusiones/Otros,Milico-Gate ('10-'14),200
Evasiones/Elusiones/Fraudes al Fisco/Colusiones/Otros,Evasión Wallmart ('10-'14),112
Evasiones/Elusiones/Fraudes al Fisco/Colusiones/Otros,Perdonazo SII Johnsons ('12),91
Evasiones/Elusiones/Fraudes al Fisco/Colusiones/Otros,Paco-Gate ('00-'19),62
Evasiones/Elusiones/Fraudes al Fisco/Colusiones/Otros,Colusión Farmacias ('07-'08),38
Evasiones/Elusiones/Fraudes al Fisco/Colusiones/Otros,Arriendos Airbnb (no pago impuestos) ('14-'18),20
Evasiones/Elusiones/Fraudes al Fisco/Colusiones/Otros,Evasión Penta ('09-'10),3.5
Evasiones/Elusiones/Fraudes al Fisco/Colusiones/Otros,Evasión Banmedica ('08-'13),1.1
Evasiones/Elusiones/Fraudes al Fisco/Colusiones/Otros,Evasión SQM ('10-'14),1.1
Evasiones/Elusiones/Fraudes al Fisco/Colusiones/Otros,Caso Caval ('15),0.4
Evasiones/Elusiones/Fraudes al Fisco/Colusiones/Otros,Contribuciones Piñera Caburga ('89-'19),0.1
