"Suicide rate, female (per 100,000 people)"
"HDI Rank (2017)","Country","2000","","2005","","2010","","2015",""
"168","Afghanistan","2.3","..","2.6","..","2.8","..","3.1",".."
"68","Albania","3.1","..","3.6","..","2.8","..","2.4",".."
"85","Algeria","2.3","..","2.1","..","1.4","..","1.3",".."
"147","Angola","12.0","..","13.3","..","14.3","..","14.3",".."
"70","Antigua and Barbuda","0.1","..","0.0","..","0.0","..","0.0",".."
"47","Argentina","5.0","..","4.5","..","4.6","..","4.8",".."
"83","Armenia","1.7","..","1.5","..","1.8","..","1.8",".."
"3","Australia","5.2","..","4.9","..","5.1","..","5.6",".."
"20","Austria","7.8","..","6.3","..","5.4","..","5.3",".."
"80","Azerbaijan","1.0","..","1.4","..","1.3","..","1.1",".."
"54","Bahamas","1.0","..","0.2","..","1.2","..","0.4",".."
"43","Bahrain","3.5","..","3.4","..","3.1","..","2.9",".."
"136","Bangladesh","8.6","..","9.2","..","8.3","..","6.6",".."
"58","Barbados","0.6","..","0.3","..","0.3","..","0.1",".."
"53","Belarus","10.1","..","9.5","..","7.2","..","5.4",".."
"17","Belgium","10.4","..","8.7","..","9.1","..","9.1",".."
"106","Belize","2.5","..","1.3","..","2.4","..","2.0",".."
"163","Benin","7.9","..","8.2","..","8.3","..","8.4",".."
"134","Bhutan","13.7","..","11.7","..","10.5","..","9.9",".."
"118","Bolivia (Plurinational State of)","19.2","..","18.5","..","16.4","..","14.4",".."
"77","Bosnia and Herzegovina","3.5","..","2.6","..","2.0","..","1.9",".."
"101","Botswana","7.7","..","7.7","..","6.9","..","6.2",".."
"79","Brazil","2.2","..","2.6","..","2.7","..","2.7",".."
"39","Brunei Darussalam","0.9","..","1.1","..","0.3","..","1.3",".."
"51","Bulgaria","7.8","..","5.6","..","4.9","..","4.8",".."
"183","Burkina Faso","8.5","..","8.8","..","9.4","..","10.1",".."
"185","Burundi","6.2","..","6.9","..","7.0","..","6.3",".."
"125","Cabo Verde","8.9","..","7.8","..","7.9","..","7.0",".."
"146","Cambodia","10.5","..","9.1","..","8.7","..","8.5",".."
"151","Cameroon","7.7","..","8.1","..","8.6","..","8.5",".."
"12","Canada","5.1","..","5.5","..","5.8","..","5.6",".."
"188","Central African Republic","7.8","..","8.9","..","10.1","..","9.3",".."
"186","Chad","6.6","..","7.0","..","7.4","..","7.9",".."
"44","Chile","3.1","..","3.3","..","4.2","..","3.3",".."
"86","China","12.7","..","10.9","..","10.0","..","9.5",".."
"90","Colombia","2.7","..","2.4","..","2.2","..","2.1",".."
"165","Comoros","7.9","..","8.9","..","8.5","..","8.0",".."
"137","Congo","8.5","..","8.8","..","7.0","..","6.1",".."
"176","Congo (Democratic Republic of the)","7.7","..","7.2","..","7.1","..","7.3",".."
"63","Costa Rica","1.8","..","2.3","..","2.2","..","2.0",".."
"46","Croatia","6.9","..","7.1","..","6.0","..","5.7",".."
"73","Cuba","8.6","..","5.6","..","4.8","..","4.2",".."
"32","Cyprus","1.2","..","1.1","..","2.0","..","1.0",".."
"27","Czechia","5.2","..","4.4","..","3.8","..","3.9",".."
"170","Côte d'Ivoire","10.7","..","12.4","..","13.5","..","14.4",".."
"11","Denmark","6.3","..","6.1","..","4.9","..","4.7",".."
"172","Djibouti","7.9","..","7.3","..","6.4","..","6.5",".."
"94","Dominican Republic","2.7","..","3.0","..","2.4","..","2.6",".."
"86","Ecuador","3.7","..","4.7","..","4.5","..","3.7",".."
"115","Egypt","2.4","..","2.2","..","1.9","..","1.8",".."
"121","El Salvador","7.5","..","6.1","..","5.0","..","4.4",".."
"141","Equatorial Guinea","12.8","..","13.4","..","13.7","..","13.2",".."
"179","Eritrea","8.0","..","7.1","..","5.9","..","5.4",".."
"30","Estonia","9.8","..","6.0","..","4.7","..","4.8",".."
"144","Eswatini (Kingdom of)","11.7","..","9.9","..","9.8","..","9.6",".."
"173","Ethiopia","6.0","..","5.4","..","5.6","..","5.6",".."
"92","Fiji","5.7","..","5.4","..","4.8","..","4.3",".."
"15","Finland","10.4","..","9.0","..","7.8","..","7.2",".."
"24","France","8.3","..","7.9","..","7.2","..","5.9",".."
"110","Gabon","7.0","..","6.8","..","7.3","..","7.0",".."
"174","Gambia","8.7","..","8.1","..","7.6","..","7.7",".."
"70","Georgia","1.7","..","1.5","..","1.5","..","1.5",".."
"5","Germany","5.2","..","4.7","..","4.5","..","4.5",".."
"140","Ghana","3.6","..","3.7","..","3.9","..","3.9",".."
"31","Greece","1.3","..","1.3","..","1.2","..","1.2",".."
"75","Grenada","0.8","..","0.7","..","0.0","..","0.5",".."
"127","Guatemala","1.6","..","1.6","..","1.4","..","1.5",".."
"175","Guinea","6.9","..","6.9","..","7.1","..","7.5",".."
"177","Guinea-Bissau","7.6","..","6.9","..","6.2","..","5.8",".."
"125","Guyana","11.7","..","13.3","..","14.4","..","15.5",".."
"168","Haiti","4.8","..","4.4","..","5.1","..","6.0",".."
"133","Honduras","2.2","..","2.9","..","2.9","..","2.6",".."
"45","Hungary","10.6","..","8.1","..","7.5","..","6.9",".."
"6","Iceland","5.7","..","7.1","..","5.1","..","6.3",".."
"130","India","16.8","..","16.6","..","16.0","..","14.2",".."
"116","Indonesia","1.9","..","1.9","..","1.9","..","1.6",".."
"60","Iran (Islamic Republic of)","7.8","..","6.4","..","3.9","..","2.9",".."
"120","Iraq","2.9","..","2.8","..","3.0","..","3.5",".."
"4","Ireland","4.3","..","4.3","..","4.8","..","4.2",".."
"22","Israel","2.9","..","3.7","..","2.4","..","2.3",".."
"28","Italy","2.8","..","2.4","..","2.1","..","2.2",".."
"97","Jamaica","0.1","..","0.9","..","0.2","..","0.3",".."
"19","Japan","9.8","..","10.0","..","10.4","..","9.2",".."
"95","Jordan","2.8","..","2.4","..","2.5","..","2.4",".."
"58","Kazakhstan","12.4","..","9.1","..","9.0","..","9.6",".."
"142","Kenya","4.5","..","4.6","..","4.6","..","4.5",".."
"134","Kiribati","7.8","..","7.4","..","7.2","..","6.6",".."
"n.a","Korea (Democratic People's Rep. of)","16.3","..","20.2","..","18.3","..","14.3",".."
"22","Korea (Republic of)","8.5","..","15.4","..","18.4","..","13.4",".."
"56","Kuwait","1.9","..","1.8","..","2.1","..","2.1",".."
"122","Kyrgyzstan","5.0","..","4.0","..","4.0","..","3.4",".."
"139","Lao People's Democratic Republic","12.2","..","11.5","..","10.8","..","9.9",".."
"41","Latvia","9.9","..","6.9","..","4.2","..","4.8",".."
"80","Lebanon","2.3","..","2.1","..","1.9","..","2.0",".."
"159","Lesotho","9.8","..","8.7","..","8.6","..","8.2",".."
"181","Liberia","5.4","..","5.2","..","4.7","..","4.9",".."
"108","Libya","4.1","..","3.5","..","3.2","..","2.8",".."
"35","Lithuania","15.3","..","10.4","..","8.5","..","8.1",".."
"21","Luxembourg","7.4","..","5.2","..","4.5","..","5.2",".."
"161","Madagascar","5.0","..","4.7","..","4.5","..","3.9",".."
"171","Malawi","4.8","..","3.9","..","4.3","..","4.8",".."
"57","Malaysia","4.8","..","4.1","..","3.7","..","3.4",".."
"101","Maldives","23.4","..","15.2","..","11.4","..","8.9",".."
"182","Mali","6.3","..","6.5","..","6.7","..","6.7",".."
"29","Malta","2.4","..","2.1","..","1.3","..","2.0",".."
"159","Mauritania","4.9","..","5.2","..","5.6","..","5.7",".."
"65","Mauritius","5.3","..","4.0","..","3.6","..","3.7",".."
"74","Mexico","1.1","..","1.4","..","1.6","..","2.1",".."
"131","Micronesia (Federated States of)","8.1","..","7.9","..","7.1","..","6.7",".."
"112","Moldova (Republic of)","4.2","..","5.4","..","5.3","..","3.9",".."
"92","Mongolia","13.0","..","10.7","..","11.3","..","9.2",".."
"50","Montenegro","5.8","..","5.8","..","5.2","..","5.3",".."
"123","Morocco","6.5","..","5.3","..","4.0","..","3.5",".."
"180","Mozambique","7.5","..","6.9","..","6.8","..","6.7",".."
"148","Myanmar","2.8","..","3.0","..","3.1","..","3.3",".."
"129","Namibia","6.5","..","5.6","..","5.8","..","5.5",".."
"149","Nepal","10.0","..","8.7","..","7.3","..","6.2",".."
"10","Netherlands","5.2","..","5.1","..","4.7","..","6.0",".."
"16","New Zealand","4.4","..","6.0","..","6.7","..","6.3",".."
"124","Nicaragua","6.9","..","6.2","..","4.6","..","4.2",".."
"189","Niger","6.0","..","6.6","..","6.3","..","5.5",".."
"157","Nigeria","9.4","..","9.1","..","9.5","..","9.9",".."
"1","Norway","5.8","..","7.1","..","6.2","..","5.7",".."
"48","Oman","2.0","..","1.4","..","1.4","..","1.3",".."
"150","Pakistan","2.8","..","2.6","..","2.6","..","2.4",".."
"66","Panama","1.6","..","2.0","..","1.5","..","1.1",".."
"153","Papua New Guinea","6.6","..","5.2","..","4.8","..","5.9",".."
"110","Paraguay","6.6","..","6.7","..","6.2","..","6.1",".."
"89","Peru","3.8","..","3.7","..","3.2","..","2.9",".."
"113","Philippines","1.8","..","1.7","..","2.0","..","1.9",".."
"33","Poland","5.5","..","5.0","..","4.8","..","4.9",".."
"41","Portugal","2.1","..","3.4","..","4.1","..","3.7",".."
"37","Qatar","1.2","..","1.1","..","1.2","..","1.2",".."
"52","Romania","3.8","..","3.2","..","3.6","..","2.5",".."
"49","Russian Federation","10.0","..","8.8","..","7.0","..","5.6",".."
"158","Rwanda","3.8","..","4.2","..","3.9","..","3.5",".."
"90","Saint Lucia","3.6","..","0.0","..","2.1","..","1.6",".."
"99","Saint Vincent and the Grenadines","0.7","..","3.1","..","0.8","..","0.4",".."
"104","Samoa","5.1","..","3.9","..","3.1","..","2.8",".."
"143","Sao Tome and Principe","1.6","..","1.6","..","1.7","..","1.7",".."
"39","Saudi Arabia","1.6","..","1.8","..","2.2","..","2.2",".."
"164","Senegal","7.1","..","7.2","..","6.5","..","5.2",".."
"67","Serbia","8.6","..","7.7","..","5.3","..","5.5",".."
"62","Seychelles","2.0","..","2.0","..","1.9","..","1.9",".."
"184","Sierra Leone","17.1","..","14.4","..","14.1","..","14.7",".."
"9","Singapore","8.0","..","6.8","..","6.5","..","5.5",".."
"38","Slovakia","4.3","..","3.1","..","3.1","..","2.5",".."
"25","Slovenia","12.7","..","8.3","..","5.1","..","6.0",".."
"152","Solomon Islands","8.0","..","5.4","..","5.4","..","5.0",".."
"n.a","Somalia","5.0","..","4.8","..","4.7","..","4.8",".."
"113","South Africa","6.5","..","5.8","..","5.2","..","5.1",".."
"187","South Sudan","6.3","..","6.1","..","5.9","..","5.4",".."
"26","Spain","2.9","..","2.7","..","2.2","..","2.9",".."
"76","Sri Lanka","17.9","..","14.8","..","11.7","..","13.3",".."
"167","Sudan","6.5","..","6.7","..","6.8","..","6.3",".."
"100","Suriname","12.0","..","10.9","..","12.8","..","12.6",".."
"7","Sweden","7.4","..","8.2","..","6.7","..","7.6",".."
"2","Switzerland","8.9","..","8.4","..","6.2","..","6.0",".."
"155","Syrian Arab Republic","0.9","..","0.9","..","1.2","..","1.2",".."
"127","Tajikistan","2.5","..","2.3","..","2.3","..","2.5",".."
"154","Tanzania (United Republic of)","6.2","..","5.7","..","5.7","..","5.8",".."
"83","Thailand","7.7","..","7.7","..","8.1","..","7.7",".."
"80","The former Yugoslav Republic of Macedonia","4.3","..","3.6","..","2.8","..","3.1",".."
"132","Timor-Leste","10.1","..","7.1","..","6.1","..","5.6",".."
"165","Togo","8.8","..","8.8","..","8.8","..","8.7",".."
"98","Tonga","4.0","..","3.6","..","3.4","..","3.3",".."
"69","Trinidad and Tobago","5.2","..","4.1","..","5.2","..","4.5",".."
"95","Tunisia","4.3","..","4.0","..","4.1","..","4.1",".."
"64","Turkey","8.0","..","6.1","..","5.6","..","4.7",".."
"108","Turkmenistan","3.8","..","4.6","..","4.6","..","5.2",".."
"162","Uganda","7.6","..","6.9","..","7.4","..","7.6",".."
"88","Ukraine","9.8","..","6.2","..","5.8","..","6.2",".."
"34","United Arab Emirates","2.1","..","1.5","..","1.1","..","0.9",".."
"14","United Kingdom","3.6","..","3.4","..","3.1","..","3.2",".."
"13","United States","3.9","..","4.5","..","5.0","..","5.8",".."
"55","Uruguay","5.1","..","6.0","..","6.4","..","6.3",".."
"105","Uzbekistan","4.4","..","3.0","..","3.8","..","5.2",".."
"138","Vanuatu","5.7","..","4.5","..","3.7","..","3.3",".."
"78","Venezuela (Bolivarian Republic of)","2.0","..","1.9","..","1.4","..","1.1",".."
"116","Viet Nam","3.7","..","3.3","..","3.4","..","3.4",".."
"178","Yemen","5.9","..","6.2","..","6.4","..","6.2",".."
"144","Zambia","6.2","..","5.2","..","5.2","..","5.0",".."
"156","Zimbabwe","11.1","..","10.0","..","10.2","..","10.3",".."
"35","Andorra","..","..","..","..","..","..","..",".."
"103","Dominica","..","..","..","..","..","..","..",".."
"7","Hong Kong, China (SAR)","..","..","..","..","..","..","..",".."
"17","Liechtenstein","..","..","..","..","..","..","..",".."
"106","Marshall Islands","..","..","..","..","..","..","..",".."
"n.a","Monaco","..","..","..","..","..","..","..",".."
"n.a","Nauru","..","..","..","..","..","..","..",".."
"60","Palau","..","..","..","..","..","..","..",".."
"119","Palestine, State of","..","..","..","..","..","..","..",".."
"72","Saint Kitts and Nevis","..","..","..","..","..","..","..",".."
"n.a","San Marino","..","..","..","..","..","..","..",".."
"n.a","Tuvalu","..","..","..","..","..","..","..",".."
""
"Last updated: January 30, 2019"
