"Suicide rate, male (per 100,000 people)"
"HDI Rank (2017)","Country","2000","","2005","","2010","","2015",""
"168","Afghanistan","10.9","..","11.7","..","11.1","..","10.9",".."
"68","Albania","9.8","..","9.5","..","7.3","..","5.3",".."
"85","Algeria","4.8","..","5.4","..","5.3","..","5.0",".."
"147","Angola","36.3","..","38.5","..","38.8","..","38.1",".."
"70","Antigua and Barbuda","4.6","..","3.2","..","0.4","..","0.0",".."
"47","Argentina","22.8","..","20.5","..","21.4","..","23.7",".."
"83","Armenia","6.7","..","7.3","..","7.9","..","8.0",".."
"3","Australia","20.0","..","16.8","..","16.6","..","15.3",".."
"20","Austria","24.9","..","21.1","..","19.4","..","18.5",".."
"80","Azerbaijan","4.8","..","6.0","..","6.0","..","5.3",".."
"54","Bahamas","2.5","..","1.1","..","2.6","..","2.9",".."
"43","Bahrain","9.0","..","10.2","..","9.9","..","9.5",".."
"136","Bangladesh","6.6","..","5.2","..","5.0","..","5.3",".."
"58","Barbados","3.3","..","3.7","..","2.3","..","0.5",".."
"53","Belarus","68.7","..","56.0","..","42.8","..","35.0",".."
"17","Belgium","28.2","..","24.8","..","23.8","..","23.4",".."
"106","Belize","16.5","..","11.2","..","11.8","..","14.7",".."
"163","Benin","21.8","..","22.9","..","22.3","..","22.7",".."
"134","Bhutan","20.0","..","17.2","..","14.5","..","13.9",".."
"118","Bolivia (Plurinational State of)","36.7","..","32.6","..","29.7","..","26.7",".."
"77","Bosnia and Herzegovina","14.7","..","11.1","..","7.5","..","7.1",".."
"101","Botswana","23.9","..","23.2","..","20.7","..","19.5",".."
"79","Brazil","9.5","..","10.1","..","9.4","..","9.6",".."
"39","Brunei Darussalam","1.3","..","2.4","..","0.9","..","1.4",".."
"51","Bulgaria","24.4","..","19.9","..","18.0","..","18.3",".."
"183","Burkina Faso","25.9","..","25.0","..","24.9","..","25.1",".."
"185","Burundi","20.3","..","21.7","..","21.5","..","20.3",".."
"125","Cabo Verde","22.6","..","18.7","..","18.8","..","18.5",".."
"146","Cambodia","18.2","..","17.9","..","17.2","..","17.9",".."
"151","Cameroon","23.8","..","26.4","..","27.2","..","27.1",".."
"12","Canada","17.4","..","16.6","..","16.1","..","15.3",".."
"188","Central African Republic","25.8","..","29.6","..","32.1","..","30.3",".."
"186","Chad","17.6","..","18.7","..","19.8","..","20.9",".."
"44","Chile","19.2","..","17.3","..","19.0","..","15.3",".."
"86","China","10.9","..","9.1","..","8.2","..","7.7",".."
"90","Colombia","10.0","..","9.5","..","11.6","..","10.1",".."
"165","Comoros","18.1","..","18.4","..","17.9","..","17.2",".."
"137","Congo","25.8","..","25.9","..","20.6","..","17.9",".."
"176","Congo (Democratic Republic of the)","20.3","..","18.2","..","17.1","..","17.3",".."
"63","Costa Rica","13.8","..","13.5","..","14.2","..","12.6",".."
"46","Croatia","27.8","..","24.3","..","21.5","..","19.2",".."
"73","Cuba","21.6","..","17.0","..","18.5","..","17.0",".."
"32","Cyprus","2.3","..","2.6","..","6.3","..","6.7",".."
"27","Czechia","22.9","..","22.0","..","20.5","..","17.7",".."
"170","Côte d'Ivoire","32.2","..","36.5","..","37.9","..","38.8",".."
"11","Denmark","18.7","..","16.1","..","12.7","..","13.5",".."
"172","Djibouti","15.9","..","15.7","..","14.2","..","15.4",".."
"94","Dominican Republic","13.5","..","17.0","..","12.5","..","12.2",".."
"86","Ecuador","9.8","..","14.8","..","13.7","..","11.5",".."
"115","Egypt","5.1","..","4.5","..","4.2","..","4.5",".."
"121","El Salvador","27.3","..","26.1","..","21.6","..","19.2",".."
"141","Equatorial Guinea","41.6","..","38.3","..","41.1","..","39.1",".."
