grupo,Item,MillonesUS
18-19Oct,1 día evasión completa (estimación),1.3
18-19Oct,Reparaciones (estimación),200
Otras Evasiones,Elusión Empresas Zombies,1453
Otras Evasiones,Contribuciones viviendas de inversión en arriendo ('14-'18),1352
Otras Evasiones,Colusión Pollos ('96-'11),1164
Otras Evasiones,Milico-Gate ('10-'14),200
Otras Evasiones,Evasión Wallmart ('10-'14),112
Otras Evasiones,Perdonazo SII Johnsons ('12),91
Otras Evasiones,Paco-Gate ('00-'19),62
Otras Evasiones,Colusión Farmacias ('07-'08),38
Otras Evasiones,Arriendos Airbnb (no pago impuestos) ('14-'18),20
Otras Evasiones,Evasión Penta ('09-'10),3.5
Otras Evasiones,Evasión Banmedica ('08-'13),1.1
Otras Evasiones,Evasión SQM ('10-'14),1.1
Otras Evasiones,Caso Caval ('15),0.4
Otras Evasiones,Contribuciones Piñera Caburga ('89-'19),0.1
